   POLL_ID,CO,ELE,PRE,PART,PPLACEID,POLL_NAME,ADDRESS1,ADDRESS2,CITY,ST,ZIP,T_ACCESS,LEG,CO,JU,AP,CON,SCH,ORP,CEN,REPORTED,B,ISPUBLIC,OFFSPARK,MUNI,COLLEGE,COLLEGE_NAME,EARLY
1846,3,27,35,1,10123,School No. 371 Lillie May Carroll Jackson,900 Woodbourne Avenue At Tunbridge Road,,Baltimore,MD,-21212,1,43,7,8,6,4,,,,2,S,1,1,,,,
1847,3,27,53,1,10127,School No. 62,2835 Virginia Avenue,,Baltimore,MD,-21215,1,40,7,8,6,6,,,,2,S,1,1,,,,
1850,3,27,57,1,12100,School No 5 Langston Hughes Elem,5011 Arbutus Avenue,,Baltimore,MD,21215,1,41,7,8,6,5,,,,2,S,1,1,,,,
1851,3,27,56,1,12100,School No 5 Langston Hughes Elem,5011 Arbutus Avenue,,Baltimore,MD,21215,1,41,7,8,6,6,,,,2,S,1,1,,,,
1852,3,9,7,1,10247,School No. 44,2040 E. 32nd Street,,Baltimore,MD,-21218,1,43,7,8,6,14,,,,2,S,1,1,,,,
1853,3,26,23,1,10132,Jerusalem Evangelical Lutheran Church,4605 Belair Road,,Baltimore,MD,-21206,1,45,2,8,6,2,,,,2,C,1,1,,,,
1854,3,26,25,1,10133,Furley Recreation Center,4633 Furley Avenue,,Baltimore,MD,-21206,1,45,2,8,6,2,,,,2,T,1,1,,,,
1855,3,8,3,1,10246,Catholic High School,2800 Edison Highway,,Baltimore,MD,-21213,1,45,7,8,6,13,,,,2,S,0,1,,,,
1856,3,26,14,1,11403,School No. 243 Armistead Gardens ES,5001 E. Eager Street,,Baltimore,MD,21205,1,45,3,8,6,2,,,,2,S,1,1,,,,
1857,3,26,16,1,10136,School No. 431 Maritime Industries Academy,5001 Sinclair Lane,,Baltimore,MD,-21206,1,45,2,8,6,2,,,,2,S,1,1,,,,
1858,3,26,17,1,10137,Orchard Ridge III Community Room,4340 Orchard Ridge Boulevard,,Baltimore,MD,21213,1,45,3,8,6,13,,,,2,T,1,1,,,,
1859,3,26,24,1,10136,School No. 431 Maritime Industries Academy,5001 Sinclair Lane,,Baltimore,MD,-21206,1,45,2,8,6,2,,,,2,S,1,1,,,,
1860,3,26,18,1,10139,School No. 248,3880 Sinclair Lane,,Baltimore,MD,-21213,1,45,3,8,6,13,,,,2,S,1,1,,,,
